State,14,15,16,17,18,19,20,21,22,fips
Alava,0,0,0,0,0,1,0,1,0,SP01
Albacete,26,28,43,50,37,31,27,39,187,SP02
Alicante,123,104,157,194,158,117,134,149,748,SP03
Almeria,0,0,0,0,0,0,0,0,56,SP04
Asturias,3,1,5,4,7,3,4,5,263,SP34
Avila,16,24,31,27,15,14,30,30,60,SP05
Badajoz,70,60,73,73,97,78,74,62,190,SP06
Baleares,19,16,21,32,20,18,18,26,12,SP07
Barcelona,1133,1250,1759,1629,1323,1377,1418,1379,7415,SP08
Bizkaia,0,0,0,0,0,0,0,0,40,SP48
Burgos,39,76,97,62,62,38,62,51,123,SP09
Caceres,45,42,64,56,65,44,53,42,31,SP10
Cadiz,110,67,73,111,73,73,77,83,7,SP11
Cantabria,0,0,0,0,0,0,0,0,90,SP39
Ceuta,1,1,1,2,0,1,2,2,1,SP90
Ciudad Real,35,24,36,33,29,32,30,21,28,SP13
Cordoba,0,0,0,0,0,0,0,0,28,SP14
Cuenca,13,12,14,23,16,13,23,14,2,SP15
Gerona,0,0,0,0,0,0,0,0,0,SP16
Gipuzkoa,0,0,0,0,0,0,0,0,9,SP19
Granada,200,209,255,281,254,216,209,217,796,SP17
Guadalajara,22,14,37,27,33,19,28,17,1,SP18
Huelva,46,44,67,94,56,107,53,40,277,SP20
Huesca,4,16,10,5,5,5,14,12,49,SP21
Jaen,34,43,69,228,66,45,56,50,41,SP22
La Coruna,73,105,123,152,132,145,199,146,32,SP23
La Rioja,0,0,2,1,0,3,0,2,55,SP27
Las Palmas,4,3,12,9,7,1,11,3,8,SP24
Leon,48,74,78,112,68,57,60,68,6,SP25
Lerida,0,0,0,0,7,0,0,0,0,SP26
Lugo,14,7,17,12,18,15,16,14,127,SP28
Madrid,2269,2149,2620,2816,2643,2349,2705,2387,11874,SP29
Malaga,329,303,445,425,386,361,385,371,344,SP30
Melilla,0,0,0,0,0,0,0,0,0,SP91
Murcia,124,133,206,160,158,131,189,150,535,SP31
Navarra,0,0,0,0,0,0,0,0,39,SP32
Orense,0,0,0,0,0,0,0,0,1,SP33
Palencia,18,10,28,37,21,16,15,16,81,SP35
Pontevedra,20,25,32,46,19,18,22,26,175,SP36
Salamanca,89,87,150,177,106,85,94,85,269,SP37
Santa Cruz de Tenerife,0,0,0,0,0,0,0,0,0,SP38
Segovia,21,21,35,37,20,34,15,33,59,SP40
Sevilla,1,1,1,2,2,1,2,1,2185,SP41
Soria,6,6,24,15,13,5,5,4,32,SP42
Tarragona,39,31,78,49,40,39,51,27,254,SP43
Teruel,8,7,3,3,9,7,6,6,23,SP44
Toledo,44,46,54,101,65,38,40,49,5,SP45
Valencia,355,441,605,539,351,388,485,477,1307,SP46
Valladolid,90,70,146,248,102,90,141,114,493,SP47
Zamora,16,21,23,26,14,22,22,14,37,SP49
Zaragoza,0,0,0,0,0,0,0,0,445,SP50
Castellon,0,0,0,0,0,0,0,0,0,SP12
