Date,Country,place,Tweet language (ISO 639-1)
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Valencia,es
22-04-2016,ES,Valencia,es
22-04-2016,ES,Badajoz,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Sevilla,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Salamanca,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Barcelona,en
22-04-2016,ES,Sevilla,es
22-04-2016,ES,Barcelona,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Badajoz,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Zaragoza,es
22-04-2016,ES,Sevilla,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Malaga,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Malaga,es
22-04-2016,ES,Malaga,es
22-04-2016,ES,Madrid,en
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Barcelona,es
22-04-2016,ES,Barcelona,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Murcia,en
22-04-2016,ES,Madrid,es
22-04-2016,ES,Valencia,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Valencia,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Barcelona,es
22-04-2016,ES,Barcelona,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Tarragona,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Albacete,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Cadiz,es
22-04-2016,ES,Salamanca,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Valencia,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Murcia,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Sevilla,en
22-04-2016,ES,Barcelona,en
22-04-2016,ES,Zaragoza,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
22-04-2016,ES,Madrid,es
