State,0,3,6,9,12,15,18,21
Alava,0,0,0,0,0,0,0,0
Albacete,4,0,0,10,12,9,14,1
Alicante,3,3,6,34,52,40,39,17
Almeria,0,0,0,0,0,0,0,0
Asturias,0,0,1,0,0,2,0,1
Avila,2,1,1,3,10,3,5,2
Badajoz,3,0,7,15,21,9,7,11
Baleares,2,1,2,5,5,5,9,3
Barcelona,62,23,160,264,319,373,240,188
Bizkaia,0,0,0,0,0,0,0,0
Burgos,2,6,7,10,15,11,7,4
Caceres,0,1,3,7,16,9,15,5
Cadiz,5,2,2,21,18,35,19,9
Cantabria,0,0,0,0,0,0,0,0
Ceuta,0,0,0,0,0,1,0,1
Ciudad Real,0,0,3,13,2,5,2,8
Cordoba,0,0,0,0,0,0,0,0
Cuenca,1,1,1,1,5,7,5,2
Gerona,0,0,0,0,0,0,0,0
Gipuzkoa,0,0,0,0,0,0,0,0
Granada,6,5,16,40,58,58,64,34
Guadalajara,0,1,1,8,5,4,5,3
Huelva,8,1,3,13,12,22,19,16
Huesca,1,0,0,0,1,0,2,1
Jaen,4,1,12,90,59,28,16,18
La Coruna,4,1,7,18,23,36,36,27
La Rioja,0,0,0,0,0,1,0,0
Las Palmas,0,0,1,3,4,0,1,0
Leon,6,0,2,14,31,21,29,9
Lerida,0,0,0,0,0,0,0,0
Lugo,0,0,0,1,1,4,4,2
Madrid,118,51,189,495,487,557,446,473
Malaga,8,3,36,78,94,79,61,66
Melilla,0,0,0,0,0,0,0,0
Murcia,5,1,8,33,23,40,29,21
Navarra,0,0,0,0,0,0,0,0
Orense,0,0,0,0,0,0,0,0
Palencia,0,1,0,3,13,9,6,5
Pontevedra,1,0,1,4,12,9,10,9
Salamanca,13,8,8,17,33,30,37,31
Santa Cruz de Tenerife,0,0,0,0,0,0,0,0
Segovia,2,1,1,6,8,4,12,3
Sevilla,0,0,0,0,1,0,0,1
Soria,1,0,0,2,2,1,6,3
Tarragona,2,0,3,8,9,13,8,6
Teruel,0,0,0,0,1,2,0,0
Toledo,1,0,8,10,15,29,20,18
Valencia,28,14,51,104,88,108,89,57
Valladolid,6,9,24,50,43,59,41,16
Zamora,2,1,1,4,6,4,5,3
Zaragoza,0,0,0,0,0,0,0,0
Castellon,0,0,0,0,0,0,0,0
SPAIN,300,136,565,1384,1504,1627,1308,1074
