State,0,2,4,6,8,10,12
Alava,0,0,0,0,0,0,0
Albacete,20,16,7,107,19,9,9
Alicante,59,45,94,422,57,44,27
Almeria,4,5,2,32,8,4,1
Asturias,36,37,6,142,18,12,12
Avila,1,8,0,41,6,1,3
Badajoz,23,22,3,114,13,9,6
Baleares,3,1,0,5,0,1,2
Barcelona,1047,734,461,3913,564,346,350
Bizkaia,3,0,2,26,5,3,1
Burgos,10,16,2,70,8,11,6
Caceres,1,6,1,18,1,1,3
Cadiz,0,0,1,3,1,1,1
Cantabria,13,10,2,49,4,10,2
Ceuta,0,0,0,1,0,0,0
Ciudad Real,1,1,0,14,3,4,5
Cordoba,2,13,1,10,1,1,0
Cuenca,0,0,0,0,1,1,0
Gerona,0,0,0,0,0,0,0
Gipuzkoa,0,0,0,3,6,0,0
Granada,83,42,24,492,56,47,52
Guadalajara,0,0,0,1,0,0,0
Huelva,45,22,11,141,29,19,10
Huesca,4,2,0,31,9,1,2
Jaen,1,1,2,32,2,1,2
La Coruna,1,1,5,12,6,3,4
La Rioja,5,7,2,30,5,5,1
Las Palmas,0,0,0,5,1,1,1
Leon,2,2,0,0,1,0,1
Lerida,0,0,0,0,0,0,0
Lugo,21,3,16,58,10,3,16
Madrid,1464,1086,482,6626,1097,599,520
Malaga,42,29,21,191,27,16,18
Melilla,0,0,0,0,0,0,0
Murcia,57,33,11,317,52,31,34
Navarra,2,0,1,29,5,2,0
Orense,0,0,0,1,0,0,0
Palencia,5,7,1,49,8,4,7
Pontevedra,38,22,8,78,9,11,9
Salamanca,26,23,9,166,17,12,16
Santa Cruz de Tenerife,0,0,0,0,0,0,0
Segovia,5,3,1,40,6,1,3
Sevilla,299,140,53,1268,186,115,124
Soria,3,0,2,19,3,3,2
Tarragona,28,17,5,163,22,13,6
Teruel,2,1,3,9,4,2,2
Toledo,0,0,0,5,0,0,0
Valencia,164,67,61,799,88,67,61
Valladolid,50,32,9,310,44,25,23
Zamora,0,1,1,24,6,1,4
Zaragoza,73,40,30,233,26,17,26
Castellon,0,0,0,0,0,0,0
SPAIN,3643,2495,1340,16099,2434,1457,1372
