State,10,12,14,16,18,20,22
Alabama,18,48,48,197,64,143,50
Alaska,0,0,0,0,0,0,0
Arizona,21,37,75,308,92,325,126
Arkansas,14,35,28,130,32,70,32
California,341,333,442,2221,651,1883,1016
Colorado,34,90,113,341,97,243,145
Connecticut,28,73,40,156,64,123,42
Delaware,8,12,9,34,11,45,9
District of Columbia,0,0,0,0,0,0,0
Florida,251,557,373,1203,325,928,356
Georgia,140,238,149,548,127,401,140
Hawaii,0,0,0,0,0,0,0
Idaho,3,19,22,30,7,19,11
Illinois,72,187,143,545,148,489,250
Indiana,47,118,66,268,63,185,75
Iowa,11,33,14,106,25,69,42
Kansas,22,52,58,167,45,118,59
Kentucky,34,59,43,164,49,128,48
Louisiana,24,59,55,236,55,184,87
Maine,0,0,0,0,0,0,0
Montana,3,19,12,37,8,27,9
Nebraska,9,21,20,61,12,51,18
Nevada,22,36,39,191,75,210,95
New Hampshire,6,9,4,28,11,27,3
New Jersey,130,180,127,405,102,319,128
New Mexico,3,22,35,72,28,65,32
New York,387,537,383,1253,370,972,506
North Carolina,81,182,131,416,102,354,140
North Dakota,2,4,7,16,6,9,5
Ohio,100,234,145,515,144,413,126
Oklahoma,28,62,35,161,42,155,78
Oregon,0,0,0,1,0,1,1
Maryland,57,142,86,300,86,259,102
Massachusetts,108,236,115,424,99,316,90
Michigan,67,155,100,390,96,272,97
Minnesota,30,79,67,232,66,188,83
Mississippi,15,43,33,81,23,71,47
Missouri,22,72,81,271,83,218,104
Pennsylvania,115,247,136,525,154,467,192
Rhode Island,17,22,15,66,15,49,12
South Carolina,51,112,66,228,57,196,56
South Dakota,1,1,8,23,2,14,14
Tennessee,56,106,78,328,88,245,113
Texas,152,389,339,1254,394,970,531
Utah,9,33,38,92,19,66,24
Vermont,3,7,4,15,8,21,3
Virginia,61,214,117,392,129,366,91
Washington,2,2,1,4,1,8,2
West Virginia,4,18,4,30,7,37,9
Wisconsin,29,67,60,214,59,195,81
Wyoming,0,8,8,9,4,12,6
USA,2638,5209,3972,14688,4145,11926,5286
