State,0,3,6,9,12,15,18,21
Alabama,55,56,52,28,158,284,123,204
Alaska,0,0,0,0,0,0,0,0
Arizona,135,193,104,46,60,536,247,435
Arkansas,21,22,37,23,65,179,57,103
California,1032,1657,1421,445,419,3810,1837,2964
Colorado,70,97,70,39,64,511,228,377
Connecticut,42,28,24,36,89,268,102,154
Delaware,15,4,12,11,31,69,30,41
District of Columbia,0,0,0,0,0,0,0,0
Florida,366,336,288,394,760,2059,855,1336
Georgia,153,211,128,136,321,975,370,468
Hawaii,0,0,0,0,0,0,0,0
Idaho,8,11,1,4,4,48,21,33
Illinois,201,159,108,77,287,1044,443,638
Indiana,103,46,28,47,137,444,185,283
Iowa,32,33,9,15,97,185,68,119
Kansas,57,30,19,22,140,279,137,157
Kentucky,51,50,32,36,101,290,127,174
Louisiana,61,90,57,36,175,343,119,211
Maine,0,0,1,0,0,0,0,0
Montana,4,9,4,1,14,71,17,27
Nebraska,17,18,11,10,71,106,49,80
Nevada,118,198,169,59,38,319,160,290
New Hampshire,14,4,5,5,23,62,24,24
New Jersey,125,145,104,167,300,747,315,511
New Mexico,19,19,23,9,21,105,50,87
New York,461,466,341,459,783,2203,824,1440
North Carolina,197,85,82,78,274,742,299,406
North Dakota,5,17,0,0,16,23,9,14
Ohio,136,78,58,94,313,888,313,509
Oklahoma,39,42,25,23,136,290,122,176
Oregon,1,0,0,0,0,1,0,2
Maryland,80,75,62,57,181,509,253,303
Massachusetts,104,61,59,93,286,823,273,406
Michigan,104,77,71,83,174,627,258,385
Minnesota,70,67,31,29,135,344,159,241
Mississippi,20,40,28,29,60,147,46,58
Missouri,58,66,48,31,185,466,186,290
Pennsylvania,166,106,91,110,315,940,401,664
Rhode Island,20,3,15,19,41,80,52,57
South Carolina,51,35,19,38,134,384,159,193
South Dakota,8,9,5,2,16,31,15,24
Tennessee,105,109,78,73,192,573,217,316
Texas,473,459,264,281,716,2166,875,1536
Utah,22,43,11,7,25,140,57,91
Vermont,8,2,4,5,11,44,21,27
Virginia,113,70,55,100,234,756,310,367
Washington,3,2,0,2,7,17,8,9
West Virginia,16,7,14,12,28,86,27,35
Wisconsin,70,47,38,42,178,375,132,182
Wyoming,2,3,2,0,5,23,5,12
USA,5031,5385,4108,3313,7820,25412,10585,16459
