State,0,2,4,6,8,10,12
Alabama,177,142,42,26,14,24,10
Alaska,0,0,0,0,0,0,0
Arizona,525,297,119,91,35,44,7
Arkansas,93,65,26,25,26,28,5
California,4087,3461,1385,1081,701,452,63
Colorado,277,207,76,49,27,36,11
Connecticut,184,98,28,17,16,36,20
Delaware,58,41,10,8,3,11,8
District of Columbia,0,0,0,0,0,0,0
Florida,1648,1158,316,236,232,345,165
Georgia,690,555,167,77,71,130,71
Hawaii,0,0,0,0,0,0,0
Idaho,44,20,9,2,1,2,1
Illinois,823,601,184,76,48,88,42
Indiana,325,200,55,40,19,49,39
Iowa,125,95,24,14,3,8,5
Kansas,203,157,28,12,22,22,12
Kentucky,241,153,43,22,22,27,24
Louisiana,255,203,92,67,39,34,13
Maine,0,0,0,0,0,0,0
Montana,34,17,6,4,0,1,2
Nebraska,92,90,24,8,4,10,4
Nevada,399,332,153,160,83,50,6
New Hampshire,19,14,3,3,5,12,8
New Jersey,596,436,87,72,75,133,55
New Mexico,117,66,17,22,16,12,1
New York,1950,1589,389,258,208,375,160
North Carolina,534,365,80,42,31,109,62
North Dakota,29,24,5,1,3,2,0
Ohio,585,450,87,54,29,77,64
Oklahoma,196,148,33,30,15,21,7
Oregon,2,2,0,0,0,0,0
Maryland,298,243,48,25,22,70,46
Massachusetts,443,260,42,36,52,100,57
Michigan,458,284,72,36,40,90,45
Minnesota,304,184,56,24,15,22,17
Mississippi,114,73,28,14,18,26,9
Missouri,331,228,54,32,19,39,11
Pennsylvania,843,541,104,61,41,123,73
Rhode Island,55,38,10,1,4,6,19
South Carolina,233,138,25,25,11,54,26
South Dakota,45,35,3,6,3,0,1
Tennessee,494,356,78,48,34,57,18
Texas,1940,1263,364,250,124,165,61
Utah,100,98,36,14,7,9,3
Vermont,16,13,2,2,6,7,6
Virginia,454,276,87,30,53,88,68
Washington,7,15,0,1,0,0,0
West Virginia,41,34,8,7,4,7,2
Wisconsin,223,164,53,30,15,27,10
Wyoming,5,15,3,3,0,0,0
USA,20712,15244,4561,3142,2216,3028,1337
,,,,,,,
