Tweet content,Latitude,Longitude,sentiment
#prensa #bodega #davidmoreno #larioja #logroño #españa @ Bodegas David Moreno https://t.co/T3mO4kprZH,42.36758611,-2.80849473,0.0
Just posted a photo @ Madird https://t.co/4fbm9jknL9,40.44069834,-3.66988983,0.0
ONLY good vibes!… https://t.co/E2cKdZU8Fp,38.9,1.43333,0.4375
ding ding ding ding DONG DONG DONG DONG DONG DONG DONG DONG DONG DONG DONG!!!!!!!!!!!,41.545639,1.893817,0.0
"Wind 7,2 km/h SSW. Barometer 1017,1 mb, Rising slowly. Temperature 16,7 °C. Rain today 0,0 mm. Humidity 74%",38.75388889,-0.1075,-0.30000000000000004
#bodega #davidmoreno #logroño #españa #amigos @ Bodegas David Moreno https://t.co/jHqjT9v5LW,42.36758611,-2.80849473,0.0
ESN :  Police free 29 Chinese sex slaves in Spain: Police said on Sunday they had rescued 29 Chinese women who had… https://t.co/jcZMA0OwUZ,40.41970731,-3.69855957,0.13333333333333333
"ESN :  Spain's Abertis, Brookfield to launch bid for Brazil's Arteris: MADRID Spain's Abertis (ABE.MC) said on… https://t.co/w5sHTmDpuk",40.41970731,-3.69855957,0.0
Do you want some fruits ? #healthybreakfast @airedebardenas @ Aire de Bardenas https://t.co/YFTIZozSIu,42.07857447,-1.56538128,0.0
"Vino at 11 a.m. on a Monday is acceptable when there's a view like this...

#parkguell… https://t.co/yCKkY04NCd",41.41364413,2.15292187,0.0
"Happy Birthday @mariahsk8rbell @ Murcia, Murcia https://t.co/S4rtfexjy4",37.9861,-1.1303,0.8
I just finished running 10.01 km in 1h:05m:54s with #Endomondo #endorphins https://t.co/A50y4BxKfV,37.287877,-5.923449,0.0
"Instead of criticizing... Help you👌🏾😌 @ Madrid, Spain https://t.co/hy8ZRS2RL2",40.4,-3.68333,0.0
Monday thoughts!! Who's with us? #marbella #marbs #monday #motivation #puertobanus #holiday… https://t.co/DKKxbIbPrm,36.48764935,-4.95262493,0.0
Just posted a photo @ El Zaporito https://t.co/DMMRrj8KFd,36.4628105,-6.1952801,0.0
"Camiseta Grimey Godly beings.
Precio: 33€
#grmy #grimey #grimeylife #urbanklan… https://t.co/Lf64ydc5Y1",39.479457,-0.37932069,0.0
"Randomize 🔀 #simba #labala #picoftheday #instapic #nopainnogain @ Madrid, Spain https://t.co/YcMIuOWbdj",40.4,-3.68333,0.0
Sometimes I feel like put hands up in the air(8) #YouVeGotTheLove #FlorenceAndTheMachine… https://t.co/Byj9zyyADh,40.3879499,-3.73585,0.0
Just posted a photo @ Terra Natura Murcia https://t.co/YVd6m1a5Ts,38.01006163,-1.16451568,0.0
Just posted a photo @ Mercado San Anton https://t.co/jkuiu8JBbZ,40.42204,-3.69754,0.0
Once i was eighteen years old.⏳🔥🌠 @ Ronda https://t.co/jUJLSb0wvn,36.7333,-5.16667,0.1
Our spectrum of colours... #FlorenceAndTheMachine #Spectrum #PalacioVistalegre #FlorenceWelch… https://t.co/LftCkewD6k,40.3879499,-3.73585,0.0
I just finished running 5.94 km in 43m:05s with #Endomondo #endorphins https://t.co/ay6gCqck4b,38.17935870000001,-2.4551473,0.0
Just posted a photo @ Port of Barcelona https://t.co/Cze0Vb4vjI,41.37520549,2.18179887,0.0
Just posted a photo @ Bunkers - El Carmel https://t.co/7coSDAmtn8,41.41954000000001,2.16072,0.0
I was out running 10.02 km with #Endomondo #endorphins https://t.co/t7UIJtBFOo,40.606244,-3.581564,0.0
"Some drinks,, coronita n' tequila 😉✌👍👉🍸🍺🍻🍹 #coronita #josecuervo @… https://t.co/B0Rc2v0WWI",41.76666667,-1.11666667,0.0
Curiosidad que pone alex_cooper_2016 y de la que me apropio.....You know you make me I wanna… https://t.co/ToUBU5zkon,40.94974000000001,-4.12294,0.0
I'm at @HotelReginaMad in Madrid https://t.co/13MQFWUUXp,40.41803970000001,-3.69996433,0.0
"❤MADRID❤ #monday #workingtime #madrid #views @ Madrid, Spain https://t.co/GdoVWwwKkp",40.4,-3.68333,0.0
Just posted a photo @ Bunkers - El Carmel https://t.co/XwNtJaeLx5,41.41954000000001,2.16072,0.0
Years later... 🙌💞 @ Parquesur https://t.co/aQylaEWXRO,40.3395481,-3.73332499,0.0
"science4you_pt in @toysrus Spain - Madrid #Science4you #toysrus #toys #science @ Madrid, Spain https://t.co/67yBH0vw3j",40.4,-3.68333,0.0
"Yesterday-shoot with this two lovely girls 💛💕 

@ahidaagirre / elisabethparra 

#LAZYOAF @ C/… https://t.co/aXjXGYtAWk",41.40532,2.15645,0.5
